domain,comparison,from_index,to_index,count
WBC,REF-A_full_vs_REF-B_corrected_ten,1,1,10
WBC,REF-A_full_vs_REF-B_corrected_ten,2,2,4
WBC,REF-A_full_vs_REF-B_corrected_ten,3,3,19
WBC,REF-A_full_vs_REF-B_corrected_ten,4,4,784
WBC,REF-A_full_vs_REF-B_corrected_ten,5,5,13596
WBC,REF-A_full_vs_REF-B_corrected_ten,6,6,9262
WBC,REF-A_full_vs_REF-B_corrected_ten,7,7,1580
WBC,REF-A_full_vs_REF-B_corrected_ten,8,8,518
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,1,1,5
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,1,2,2
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,1,6,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,1,7,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,1,8,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,2,2,3
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,2,6,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,3,2,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,3,3,6
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,3,4,4
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,3,5,4
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,3,6,4
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,4,3,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,4,4,415
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,4,5,127
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,4,6,114
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,4,7,87
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,4,8,40
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,5,4,45
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,5,5,7524
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,5,6,1426
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,5,7,2162
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,5,8,2439
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,6,1,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,6,2,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,6,3,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,6,5,104
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,6,6,3832
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,6,7,1388
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,6,8,3935
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,7,5,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,7,6,10
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,7,7,420
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,7,8,1149
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,8,8,518
WBC,REF-A_full_vs_REF-C_disjoint_four,1,1,5
WBC,REF-A_full_vs_REF-C_disjoint_four,1,2,2
WBC,REF-A_full_vs_REF-C_disjoint_four,1,6,1
WBC,REF-A_full_vs_REF-C_disjoint_four,1,7,1
