domain,comparison,stack_index,from_index,to_index,absolute_shift
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,1,6,7,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,2,6,7,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,3,5,6,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,4,6,8,2
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,5,6,7,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,9,6,7,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,13,7,8,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,14,6,8,2
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,15,6,7,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,16,5,6,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,17,5,6,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,18,5,6,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,19,5,7,2
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,20,6,7,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,21,6,7,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,22,5,6,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,23,6,8,2
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,25,6,8,2
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,26,6,7,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,28,5,6,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,32,6,7,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,33,6,7,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,35,5,6,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,37,5,6,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,38,7,8,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,40,5,6,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,46,6,7,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,50,7,8,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,51,6,7,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,53,6,7,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,54,6,7,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,59,6,8,2
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,60,6,7,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,61,5,7,2
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,67,7,8,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,69,6,7,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,72,6,7,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,73,5,6,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,74,6,7,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,75,6,7,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,76,5,6,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,77,6,7,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,78,6,8,2
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,80,6,7,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,82,5,6,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,83,6,7,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,84,6,7,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,85,6,7,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,86,6,7,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,87,5,6,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,89,6,7,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,91,6,7,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,93,5,7,2
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,95,5,7,2
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,96,6,7,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,98,6,7,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,99,6,7,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,101,6,7,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,102,6,7,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,107,6,7,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,110,6,7,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,112,6,7,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,113,6,7,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,115,7,8,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,118,6,7,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,119,6,7,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,120,5,6,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,121,6,7,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,122,6,7,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,125,6,7,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,127,6,8,2
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,128,6,7,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,130,6,7,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,132,6,7,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,133,7,8,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,134,6,7,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,136,5,7,2
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,137,6,7,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,138,5,6,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,139,5,7,2
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,140,5,6,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,141,6,7,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,142,6,7,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,143,7,8,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,145,6,7,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,148,7,8,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,149,6,7,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,151,6,7,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,154,7,8,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,155,7,8,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,156,6,7,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,157,5,6,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,159,6,8,2
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,163,6,8,2
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,164,5,6,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,165,6,7,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,166,5,6,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,168,6,8,2
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,175,6,7,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,176,5,6,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,178,5,6,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,179,6,8,2
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,182,6,7,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,185,5,7,2
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,186,5,6,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,188,6,7,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,190,5,7,2
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,191,6,8,2
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,194,6,8,2
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,195,6,7,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,199,6,8,2
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,201,5,7,2
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,205,6,7,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,206,6,7,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,207,6,8,2
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,208,6,7,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,209,6,7,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,210,5,6,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,211,5,6,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,212,5,7,2
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,213,5,6,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,215,6,7,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,216,5,6,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,217,6,8,2
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,221,6,7,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,222,7,8,1
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,225,6,8,2
WBC,REF-B_corrected_ten_vs_REF-C_disjoint_four,227,5,6,1
